Material,Hustota,Pisek,Prach,theta_r,theta_s,alpha,n,Ks
421,1500,20,30,0.0926,0.4395,0.0160,1.2907,6.77
422,1500,20,40,0.0873,0.4291,0.0121,1.3825,5.42
423,1500,20,50,0.0784,0.4115,0.0083,1.5034,5.85
424,1500,20,60,0.0651,0.3893,0.0060,1.6133,9.98
425,1500,20,70,0.0500,0.3738,0.0060,1.6346,23.34
426,1500,20,80,0.0365,0.3652,0.0089,1.6014,53.46

427,1500,30,0,0.1025,0.4440,0.0243,1.1740,10.69
428,1500,30,10,0.0969,0.4409,0.0225,1.2019,9.92
429,1500,30,20,0.0921,0.4359,0.0191,1.2555,8.86
430,1500,30,30,0.0855,0.4252,0.0148,1.3384,6.46
431,1500,30,40,0.0760,0.4069,0.0104,1.4524,5.85
432,1500,30,50,0.0612,0.3792,0.0074,1.5611,8.96
433,1500,30,60,0.0447,0.3553,0.0071,1.5887,21.53
434,1500,30,70,0.0315,0.3413,0.0106,1.5457,52.82

435,1500,40,0,0.0993,0.4407,0.0275,1.1783,13.01
436,1500,40,10,0.0920,0.4347,0.0237,1.2180,12.00
437,1500,40,20,0.0843,0.4250,0.0187,1.2900,9.02
438,1500,40,30,0.0740,0.4079,0.0140,1.3914,6.87
439,1500,40,40,0.0591,0.3808,0.0106,1.4887,9.11
440,1500,40,50,0.0409,0.3496,0.0102,1.5148,19.62
441,1500,40,60,0.0278,0.3287,0.0149,1.4706,48.63

442,1500,50,0,0.0927,0.4346,0.0290,1.1894,16.13
443,1500,50,10,0.0833,0.4259,0.0237,1.2472,14.33
444,1500,50,20,0.0730,0.4119,0.0188,1.3385,11.67
445,1500,50,30,0.0584,0.3889,0.0160,1.4258,13.67
446,1500,50,40,0.0393,0.3565,0.0165,1.4493,23.93
447,1500,50,50,0.0259,0.3293,0.0239,1.4138,50.51

448,1500,60,0,0.0835,0.4257,0.0275,1.2228,22.82
449,1500,60,10,0.0732,0.4151,0.0231,1.3076,20.76
450,1500,60,20,0.0592,0.3981,0.0220,1.3980,22.19
451,1500,60,30,0.0402,0.3708,0.0259,1.4283,34.22
452,1500,60,40,0.0260,0.3398,0.0371,1.4120,62.05

453,1500,70,0,0.0760,0.4155,0.0245,1.3135,32.55
454,1500,70,10,0.0626,0.4045,0.0255,1.4264,35.56
455,1500,70,20,0.0437,0.3848,0.0335,1.4900,51.72
456,1500,70,30,0.0286,0.3550,0.0478,1.5170,83.71

457,1500,80,0,0.0701,0.4065,0.0239,1.5577,63.10
458,1500,80,10,0.0505,0.3942,0.0335,1.7226,97.82
459,1500,80,20,0.0343,0.3700,0.0480,1.8739,153.74

460,1500,90,0,0.0619,0.3976,0.0271,2.3561,272.63
461,1500,90,10,0.0434,0.3801,0.0392,2.8554,455.23

462,1500,100,0,0.0545,0.3843,0.0302,4.7050,1567.05

%vG_hustota 1600
463,1600,0,0,0.1121,0.4162,0.0165,1.1866,4.85
464,1600,0,10,0.1041,0.4175,0.0167,1.1765,3.89
465,1600,0,20,0.0993,0.4218,0.0166,1.1875,3.14
466,1600,0,30,0.0963,0.4266,0.0160,1.2140,2.71
467,1600,0,40,0.0942,0.4295,0.0150,1.2543,2.40
468,1600,0,50,0.0924,0.4293,0.0129,1.3157,2.09
469,1600,0,60,0.0883,0.4245,0.0101,1.4006,2.22
470,1600,0,70,0.0809,0.4173,0.0078,1.4952,2.96
471,1600,0,80,0.0708,0.4141,0.0069,1.5606,5.25
472,1600,0,90,0.0579,0.4122,0.0075,1.5735,10.25
473,1600,0,100,0.0455,0.4127,0.0103,1.6201,18.41

474,1600,10,0,0.1078,0.4175,0.0183,1.1660,5.92
475,1600,10,10,0.1000,0.4177,0.0184,1.1725,5.02
476,1600,10,20,0.0953,0.4191,0.0178,1.1941,4.23
477,1600,10,30,0.0923,0.4199,0.0166,1.2318,3.68
478,1600,10,40,0.0899,0.4176,0.0141,1.2914,2.97
479,1600,10,50,0.0858,0.4108,0.0109,1.3814,2.79
480,1600,10,60,0.0775,0.3980,0.0079,1.4920,3.62
481,1600,10,70,0.0662,0.3869,0.0064,1.5787,6.87
482,1600,10,80,0.0521,0.3801,0.0071,1.5877,15.35
483,1600,10,90,0.0393,0.3773,0.0104,1.6054,31.93

484,1600,20,0,0.1036,0.4176,0.0209,1.1648,7.01
485,1600,20,10,0.0965,0.4154,0.0208,1.1761,6.11
486,1600,20,20,0.0922,0.4140,0.0193,1.2056,5.29
487,1600,20,30,0.0882,0.4100,0.0164,1.2584,4.15
488,1600,20,40,0.0829,0.4013,0.0126,1.3430,3.15
489,1600,20,50,0.0744,0.3863,0.0090,1.4568,3.51
490,1600,20,60,0.0615,0.3672,0.0068,1.5584,6.29
491,1600,20,70,0.0467,0.3537,0.0073,1.5731,15.33
492,1600,20,80,0.0339,0.3469,0.0113,1.5627,37.28

493,1600,30,0,0.1002,0.4157,0.0247,1.1645,7.87
494,1600,30,10,0.0934,0.4115,0.0234,1.1801,6.96
495,1600,30,20,0.0876,0.4064,0.0200,1.2212,5.77
496,1600,30,30,0.0808,0.3971,0.0157,1.2935,3.78
497,1600,30,40,0.0716,0.3813,0.0115,1.3988,3.60
498,1600,30,50,0.0575,0.3574,0.0086,1.4991,5.87
499,1600,30,60,0.0417,0.3364,0.0089,1.5204,14.57
500,1600,30,70,0.0294,0.3244,0.0140,1.4948,35.92

501,1600,40,0,0.0962,0.4119,0.0285,1.1622,9.62
502,1600,40,10,0.0876,0.4054,0.0252,1.1870,8.01
503,1600,40,20,0.0792,0.3964,0.0202,1.2438,5.43
504,1600,40,30,0.0693,0.3816,0.0156,1.3342,4.33
505,1600,40,40,0.0554,0.3585,0.0126,1.4259,6.26
506,1600,40,50,0.0382,0.3310,0.0130,1.4499,13.65
507,1600,40,60,0.0261,0.3126,0.0201,1.4209,33.69

508,1600,50,0,0.0885,0.4054,0.0305,1.1653,11.23
509,1600,50,10,0.0782,0.3966,0.0256,1.2052,9.15
510,1600,50,20,0.0680,0.3843,0.0208,1.2813,7.28
511,1600,50,30,0.0544,0.3650,0.0187,1.3656,9.19
512,1600,50,40,0.0368,0.3367,0.0208,1.3943,17.07
513,1600,50,50,0.0246,0.3125,0.0312,1.3749,36.74

514,1600,60,0,0.0786,0.3955,0.0288,1.1885,15.04
515,1600,60,10,0.0681,0.3857,0.0252,1.2526,12.53
516,1600,60,20,0.0551,0.3716,0.0250,1.3390,14.30
517,1600,60,30,0.0379,0.3484,0.0311,1.3829,23.61
518,1600,60,40,0.0251,0.3209,0.0452,1.3872,44.83

519,1600,70,0,0.0713,0.3844,0.0255,1.2630,20.34
520,1600,70,10,0.0585,0.3751,0.0277,1.3633,22.58
521,1600,70,20,0.0415,0.3590,0.0377,1.4488,35.19
522,1600,70,30,0.0279,0.3330,0.0536,1.5097,60.29

523,1600,80,0,0.0660,0.3745,0.0246,1.4870,41.49
524,1600,80,10,0.0481,0.3649,0.0355,1.6707,68.44
525,1600,80,20,0.0338,0.3445,0.0499,1.8920,113.33

526,1600,90,0,0.0591,0.3654,0.0274,2.2576,205.11
527,1600,90,10,0.0426,0.3514,0.0394,2.8661,356.18

528,1600,100,0,0.0525,0.3532,0.0303,4.5286,1357.28

%vG_hustota 1800
529,1800,0,0,0.1107,0.3716,0.0149,1.2293,2.58
530,1800,0,10,0.1001,0.3682,0.0155,1.1930,1.94
531,1800,0,20,0.0935,0.3681,0.0161,1.1793,1.49
532,1800,0,30,0.0893,0.3703,0.0162,1.1872,1.25
533,1800,0,40,0.0861,0.3723,0.0156,1.2116,1.04
534,1800,0,50,0.0830,0.3726,0.0139,1.2549,0.80
535,1800,0,60,0.0780,0.3695,0.0114,1.3186,0.82
536,1800,0,70,0.0707,0.3654,0.0090,1.3918,1.18
537,1800,0,80,0.0614,0.3656,0.0083,1.4454,2.30
538,1800,0,90,0.0497,0.3671,0.0100,1.4640,4.72
539,1800,0,100,0.0390,0.3741,0.0149,1.5318,8.92

540,1800,10,0,0.1062,0.3684,0.0169,1.1783,3.09
541,1800,10,10,0.0960,0.3660,0.0184,1.1667,2.46
542,1800,10,20,0.0894,0.3651,0.0188,1.1701,1.97
543,1800,10,30,0.0850,0.3642,0.0180,1.1889,1.62
544,1800,10,40,0.0808,0.3616,0.0159,1.2266,1.16
545,1800,10,50,0.0755,0.3562,0.0129,1.2880,1.03
546,1800,10,60,0.0668,0.3464,0.0100,1.3681,1.40
547,1800,10,70,0.0562,0.3394,0.0087,1.4346,2.82
548,1800,10,80,0.0440,0.3367,0.0103,1.4504,6.59
549,1800,10,90,0.0335,0.3413,0.0158,1.5136,14.56

550,1800,20,0,0.1018,0.3682,0.0209,1.1674,3.54
551,1800,20,10,0.0921,0.3638,0.0222,1.1591,2.89
552,1800,20,20,0.0856,0.3601,0.0215,1.1670,2.38
553,1800,20,30,0.0796,0.3551,0.0190,1.1948,1.64
554,1800,20,40,0.0726,0.3472,0.0156,1.2462,1.18
555,1800,20,50,0.0635,0.3349,0.0121,1.3212,1.39
556,1800,20,60,0.0516,0.3209,0.0104,1.3928,2.67
557,1800,20,70,0.0389,0.3124,0.0123,1.4140,6.76
558,1800,20,80,0.0288,0.3125,0.0193,1.4751,16.82

559,1800,30,0,0.0975,0.3659,0.0259,1.1585,3.91
560,1800,30,10,0.0877,0.3594,0.0262,1.1502,3.18
561,1800,30,20,0.0793,0.3527,0.0239,1.1647,2.21
562,1800,30,30,0.0705,0.3434,0.0200,1.2024,1.38
563,1800,30,40,0.0605,0.3298,0.0161,1.2639,1.47
564,1800,30,50,0.0478,0.3117,0.0140,1.3294,2.72
565,1800,30,60,0.0348,0.2969,0.0166,1.3550,6.65
566,1800,30,70,0.0252,0.2916,0.0268,1.4098,16.58

567,1800,40,0,0.0915,0.3611,0.0309,1.1437,4.51
568,1800,40,10,0.0798,0.3527,0.0298,1.1428,3.30
569,1800,40,20,0.0692,0.3428,0.0260,1.1660,1.98
570,1800,40,30,0.0583,0.3293,0.0222,1.2121,1.82
571,1800,40,40,0.0456,0.3113,0.0207,1.2676,3.00
572,1800,40,50,0.0321,0.2914,0.0248,1.2966,6.73
573,1800,40,60,0.0230,0.2802,0.0393,1.3374,16.22

574,1800,50,0,0.0817,0.3529,0.0335,1.1343,4.75
575,1800,50,10,0.0688,0.3424,0.0313,1.1455,3.40
576,1800,50,20,0.0573,0.3303,0.0288,1.1786,2.72
577,1800,50,30,0.0449,0.3147,0.0296,1.2257,4.02
578,1800,50,40,0.0313,0.2942,0.0374,1.2598,8.29
579,1800,50,50,0.0223,0.2779,0.0560,1.2963,18.68

580,1800,60,0,0.0706,0.3406,0.0314,1.1455,5.43
581,1800,60,10,0.0584,0.3299,0.0317,1.1705,4.17
582,1800,60,20,0.0460,0.3176,0.0359,1.2146,5.52
583,1800,60,30,0.0328,0.3011,0.0490,1.2607,10.58
584,1800,60,40,0.0233,0.2818,0.0693,1.3165,22.25

585,1800,70,0,0.0634,0.3274,0.0277,1.2011,6.64
586,1800,70,10,0.0502,0.3180,0.0346,1.2504,8.07
587,1800,70,20,0.0367,0.3063,0.0504,1.3246,14.92
588,1800,70,30,0.0265,0.2881,0.0688,1.4445,29.70

589,1800,80,0,0.0592,0.3160,0.0261,1.3911,15.39
590,1800,80,10,0.0435,0.3079,0.0409,1.5260,29.07
591,1800,80,20,0.0325,0.2941,0.0558,1.8080,56.69

592,1800,90,0,0.0544,0.3070,0.0283,2.0738,94.95
593,1800,90,10,0.0406,0.2970,0.0412,2.6450,189.71

594,1800,100,0,0.0493,0.2973,0.0308,4.0226,853.29

%vG_hustota 2000
595,2000,0,0,0.1119,0.3352,0.0144,1.2784,1.35
596,2000,0,10,0.0979,0.3282,0.0152,1.2305,1.00
597,2000,0,20,0.0884,0.3240,0.0165,1.1907,0.76
598,2000,0,30,0.0821,0.3226,0.0175,1.1747,0.62
599,2000,0,40,0.0774,0.3228,0.0175,1.1804,0.48
600,2000,0,50,0.0733,0.3229,0.0161,1.2035,0.38
601,2000,0,60,0.0679,0.3206,0.0135,1.2401,0.39
602,2000,0,70,0.0605,0.3177,0.0117,1.2866,0.55
603,2000,0,80,0.0517,0.3192,0.0124,1.3279,1.06
604,2000,0,90,0.0419,0.3223,0.0166,1.3729,2.16
605,2000,0,100,0.0340,0.3335,0.0250,1.4373,4.24

606,2000,10,0,0.1067,0.3284,0.0164,1.2162,1.53
607,2000,10,10,0.0933,0.3221,0.0188,1.1757,1.20
608,2000,10,20,0.0845,0.3186,0.0207,1.1594,0.93
609,2000,10,30,0.0782,0.3159,0.0209,1.1605,0.72
610,2000,10,40,0.0720,0.3128,0.0194,1.1788,0.52
611,2000,10,50,0.0651,0.3080,0.0168,1.2119,0.47
612,2000,10,60,0.0563,0.2998,0.0136,1.2562,0.64
613,2000,10,70,0.0468,0.2958,0.0133,1.2995,1.24
614,2000,10,80,0.0369,0.2962,0.0177,1.3351,2.80
615,2000,10,90,0.0291,0.3069,0.0279,1.4087,6.50

616,2000,20,0,0.1017,0.3257,0.0218,1.1890,1.63
617,2000,20,10,0.0892,0.3189,0.0241,1.1555,1.29
618,2000,20,20,0.0803,0.3133,0.0250,1.1443,1.01
619,2000,20,30,0.0722,0.3074,0.0238,1.1539,0.70
620,2000,20,40,0.0632,0.3000,0.0212,1.1800,0.53
621,2000,20,50,0.0531,0.2893,0.0181,1.2172,0.64
622,2000,20,60,0.0424,0.2787,0.0170,1.2564,1.23
623,2000,20,70,0.0325,0.2748,0.0217,1.2872,3.05
624,2000,20,80,0.0252,0.2835,0.0343,1.3643,7.16

625,2000,30,0,0.0965,0.3225,0.0277,1.1704,1.72
626,2000,30,10,0.0838,0.3141,0.0295,1.1360,1.30
627,2000,30,20,0.0730,0.3062,0.0293,1.1330,0.88
628,2000,30,30,0.0625,0.2969,0.0270,1.1499,0.61
629,2000,30,40,0.0514,0.2850,0.0247,1.1783,0.67
630,2000,30,50,0.0394,0.2704,0.0246,1.2091,1.27
631,2000,30,60,0.0291,0.2608,0.0315,1.2358,3.05
632,2000,30,70,0.0222,0.2648,0.0473,1.3136,7.61

633,2000,40,0,0.0891,0.3168,0.0328,1.1461,1.77
634,2000,40,10,0.0748,0.3070,0.0341,1.1219,1.24
635,2000,40,20,0.0623,0.2966,0.0331,1.1289,0.82
636,2000,40,30,0.0505,0.2844,0.0323,1.1489,0.81
637,2000,40,40,0.0383,0.2694,0.0350,1.1726,1.42
638,2000,40,50,0.0274,0.2553,0.0464,1.1957,3.22
639,2000,40,60,0.0205,0.2531,0.0689,1.2774,7.85

640,2000,50,0,0.0781,0.3076,0.0344,1.1295,1.79
641,2000,50,10,0.0633,0.2963,0.0354,1.1233,1.27
642,2000,50,20,0.0509,0.2848,0.0372,1.1363,1.10
643,2000,50,30,0.0388,0.2714,0.0439,1.1560,1.75
644,2000,50,40,0.0275,0.2560,0.0612,1.1789,3.82
645,2000,50,50,0.0205,0.2483,0.0876,1.2723,9.14

646,2000,60,0,0.0673,0.2948,0.0307,1.1447,1.92
647,2000,60,10,0.0540,0.2840,0.0347,1.1494,1.55
648,2000,60,20,0.0414,0.2729,0.0448,1.1675,2.23
649,2000,60,30,0.0300,0.2599,0.0659,1.1986,4.71
650,2000,60,40,0.0224,0.2481,0.0906,1.3177,10.86

651,2000,70,0,0.0619,0.2819,0.0256,1.2222,2.44
652,2000,70,10,0.0478,0.2727,0.0359,1.2379,3.26
653,2000,70,20,0.0350,0.2627,0.0562,1.2879,6.78
654,2000,70,30,0.0265,0.2503,0.0758,1.4652,15.27

655,2000,80,0,0.0597,0.2715,0.0236,1.4667,6.76
656,2000,80,10,0.0432,0.2637,0.0396,1.5467,13.97
657,2000,80,20,0.0329,0.2533,0.0554,1.8458,31.35

658,2000,90,0,0.0547,0.2640,0.0258,2.2078,49.34
659,2000,90,10,0.0409,0.2552,0.0390,2.6960,112.84

660,2000,100,0,0.0492,0.2563,0.0288,4.1103,566.85

Sand,1300,-1,-1,0.045,0.43,0.145,2.68,712.8
LoamySand,1300,-1,-1,0.057,0.41,0.124,2.28,350.2
SandyLoam,1300,-1,-1,0.065,0.41,0.075,1.89,106.1  
Loam,1300,-1,-1,0.078,0.43,0.036,1.56,24.96
Silt,1300,-1,-1,0.034,0.46,0.016,1.37,6.00
SiltLoam,1300,-1,-1,0.067,0.45,0.02,1.41,10.80
SandyClayLoam,1300,-1,-1,0.1,0.39,0.059,1.48,31.44
ClayLoam,1300,-1,-1,0.095,0.41,0.019,1.31,6.24
SiltyClayLoam,1300,-1,-1,0.089,0.43,0.01,1.23,1.68
SandyClay,1300,-1,-1,0.1,0.38,0.027,1.23,2.88
SiltyClay,1300,-1,-1,0.07,0.36,0.005,1.09,0.48
Clay,1300,-1,-1,0.068,0.38,0.008,1.09,4.8
